marka,model,araba_yasi,kilometre,motor_gucu,fiyat
alfa-romeo,159,18,310100,154,539000
alfa-romeo,159,22,535474,154,459300
alfa-romeo,159,22,392471,154,493400
alfa-romeo,159,19,325600,154,525000
alfa-romeo,159,21,450200,154,475000
alfa-romeo,159,23,555000,154,450000
alfa-romeo,159,20,350000,154,510000
alfa-romeo,159,17,295000,154,530000
alfa-romeo,159,24,560000,154,440000
alfa-romeo,159,21,400000,154,485000
alfa-romeo,159,19,315000,154,518000
alfa-romeo,159,23,480000,154,460000
alfa-romeo,159,20,385000,154,498000
alfa-romeo,159,17,305000,154,522000
alfa-romeo,159,24,540000,154,445000
alfa-romeo,159,21,430000,154,478000
alfa-romeo,159,19,330000,154,520000
alfa-romeo,159,23,505000,154,455000
alfa-romeo,159,20,370000,154,505000
alfa-romeo,159,17,285000,154,535000
alfa-romeo,159,24,570000,154,435000
alfa-romeo,159,21,415000,154,480000
alfa-romeo,159,19,310000,154,525000
alfa-romeo,159,23,495000,154,465000
alfa-romeo,159,20,395000,154,490000
alfa-romeo,159,17,290000,154,540000
alfa-romeo,159,24,530000,154,450000
alfa-romeo,159,21,440000,154,470000
alfa-romeo,159,19,320000,154,515000
alfa-romeo,159,23,520000,154,458000
alfa-romeo,159,20,360000,154,512000
alfa-romeo,159,17,300000,154,528000
alfa-romeo,159,24,550000,154,438000
alfa-romeo,159,21,405000,154,482000
alfa-romeo,159,19,312000,154,523000
alfa-romeo,159,23,510000,154,452000
alfa-romeo,159,20,380000,154,500000
alfa-romeo,159,17,280000,154,545000
alfa-romeo,159,24,580000,154,430000
alfa-romeo,159,21,425000,154,473000
alfa-romeo,159,19,322000,154,517000
alfa-romeo,159,23,485000,154,463000
alfa-romeo,159,20,375000,154,502000
alfa-romeo,159,17,298000,154,526000
alfa-romeo,159,24,545000,154,447000
alfa-romeo,159,21,410000,154,477000
alfa-romeo,159,19,318000,154,519000
alfa-romeo,159,23,515000,154,453000
alfa-romeo,159,20,365000,154,508000
alfa-romeo,Giulia,6,112100,111,740000
alfa-romeo,Giulia,9,110640,111,784810
alfa-romeo,Giulia,9,141880,111,756970
