marka,model,araba_yasi,kilometre,motor_gucu,fiyat
alfa-romeo,Giulia,6,112100,111,740000
alfa-romeo,Giulietta,12,184400,111,482000
alfa-romeo,159,18,310100,154,539000
audi,A4,10,131500,102,1053000
audi,A4,21,313100,115,562000
audi,A4,24,204600,110,480000
audi,A4,18,361600,110,501000
audi,A4,18,179800,110,642000
audi,A4,4,70600,140,1956000
audi,A6,10,172300,160,1542000
bmw,3 Serisi,24,303400,101,410000
bmw,3 Serisi,7,118400,101,1312000
bmw,3 Serisi,10,187800,121,1130000
bmw,3 Serisi,13,222500,121,919000
bmw,3 Serisi,12,139700,121,1087000
bmw,3 Serisi,23,322300,182,902000
bmw,3 Serisi,24,295000,182,883000
bmw,3 Serisi,3,47400,182,3230000
chevrolet,Aveo,12,143400,48,186000
chevrolet,Aveo,12,148700,70,240000
chevrolet,Cruze,10,111800,70,283000
dodge,Neon,24,424100,68,152000
dodge,Caliber,7,100100,68,317000
dodge,Neon,24,249300,102,314000
dodge,Viper,18,349900,68,150000
dodge,Caliber,14,151500,68,243000
dodge,Caliber,14,138600,68,223000
dodge,Avenger,17,329100,102,303000
dodge,Charger,4,56500,88,535000
dodge,Nitro,15,160300,145,698000
honda,Civic,3,33400,58,432000
honda,Civic,10,166300,76,268000
honda,Civic,20,182200,60,175000
honda,Civic,22,231500,76,178000
honda,Civic,20,381600,76,150000
honda,Civic,3,19000,76,580000
honda,Civic,14,196800,76,250000
honda,Civic,7,114700,86,439000
honda,Civic,3,19700,86,642000
honda,Civic,13,205600,86,299000
honda,Civic,10,121700,86,379000
honda,Civic,16,160200,101,358000
honda,Civic,21,417100,100,195000
isuzu,D-Max,16,134200,78,304000
isuzu,D-Max,22,277900,70,154000
isuzu,D-Max,17,313400,70,150000
isuzu,D-Max,10,147300,90,381000
jaguar,XE,11,159600,176,2178000
jaguar,XF,12,254600,176,1825000
jaguar,F-Pace,6,71200,262,4800000
mazda,323,14,295500,68,150000
mazda,3,7,143400,68,277000
mazda,3,3,48500,68,422000
mazda,3,11,102600,68,314000
mazda,323,14,222500,68,191000
mazda,3,17,143600,101,344000
mazda,3,3,49000,101,723000
mazda,626,25,444200,101,183000
mazda,6,21,440300,135,342000
mazda,626,25,326800,84,174000
mazda,3,12,156400,84,332000
mazda,3,13,101600,84,385000
mazda,3,3,25100,84,612000
mazda,2,12,176800,64,230000
mazda,6,22,467200,84,150000
mazda,6,20,175000,120,366000
mazda,3,4,77500,72,457000
buick,Regal,10,135500,123,741000
buick,Regal,14,242500,123,523000
buick,Century,24,463000,123,272000
buick,Regal,17,314800,123,390000
buick,LaCrosse,22,333800,155,436000
buick,Regal,3,53900,155,1051000
buick,LaCrosse,21,348400,184,666000
buick,Regal,7,118900,184,1473000
mercury,Grand Marquis,17,294500,175,808000
mitsubishi,Lancer,15,134200,68,229000
mitsubishi,Lancer,13,248400,68,210000
mitsubishi,Lancer,12,236200,68,207000
mitsubishi,Lancer,10,105100,102,520000
mitsubishi,Lancer,19,255100,116,311000
mitsubishi,Colt,20,381500,88,192000
mitsubishi,Galant,21,399300,145,361000
mitsubishi,Galant,24,312300,145,336000
mitsubishi,Lancer,12,176200,145,642000
mitsubishi,Lancer,13,205800,88,296000
mitsubishi,Colt,20,317700,88,230000
mitsubishi,Lancer,15,199800,116,417000
mitsubishi,Galant,25,475800,116,192000
nissan,Micra,23,375400,69,150000
nissan,Micra,25,441200,55,150000
nissan,Micra,19,191900,69,198000
nissan,Qashqai,7,117500,69,300000
nissan,Qashqai,7,143400,69,301000
nissan,Micra,14,151500,69,243000
nissan,Micra,19,370800,69,150000
nissan,Micra,11,164800,69,256000
nissan,Micra,20,316000,69,165000
nissan,Micra,12,253000,69,197000
nissan,Qashqai,10,210200,97,404000
nissan,Qashqai,14,116600,97,443000
nissan,X-Trail,19,307000,152,533000
nissan,X-Trail,23,495100,152,344000
nissan,Qashqai,8,154200,152,812000
nissan,X-Trail,19,343300,160,578000
nissan,X-Trail,16,192700,200,1022000
nissan,X-Trail,22,234400,160,551000
peugeot,308,10,147800,97,457000
peugeot,208,3,20500,95,670000
peugeot,308,8,157100,97,432000
peugeot,206,20,298500,95,248000
peugeot,206,25,483100,95,150000
peugeot,206,20,283500,95,252000
peugeot,308,8,85500,95,490000
peugeot,308,10,132800,95,457000
peugeot,208,12,171600,97,364000
peugeot,207,16,334600,95,261000
peugeot,407,22,347400,142,398000
plymouth,Neon,10,111800,68,283000
plymouth,Neon,21,299700,102,287000
plymouth,Neon,18,300700,68,150000
plymouth,Prowler,3,52900,68,414000
plymouth,Neon,16,218700,68,205000
plymouth,Prowler,6,53000,88,535000
plymouth,Voyager,13,261500,145,573000
porsche,Cayman,15,190400,143,1402000
porsche,718 Cayman,5,48300,207,4771000
porsche,718 Cayman,6,114100,207,4222000
porsche,Cayman,10,166100,207,2844000
porsche,911,21,343300,288,2666000
renault,Clio,7,95400,90,443000
renault,Clio,21,342400,90,178000
saab,9-3,10,172100,110,757000
saab,9-3,16,339200,110,466000
saab,9-3,20,158600,110,459000
saab,9-3,16,252800,110,517000
saab,9-5,20,387300,160,642000
saab,9-3,11,146300,160,1102000
subaru,Impreza,14,166300,69,238000
subaru,Impreza,20,387400,73,150000
subaru,Impreza,20,358000,73,150000
subaru,Impreza,22,430100,82,158000
subaru,Impreza,16,210900,82,277000
subaru,Legacy,19,170400,94,323000
subaru,Impreza,14,249300,82,237000
subaru,Legacy,13,275900,111,356000
subaru,Impreza,14,287600,82,217000
subaru,Legacy,24,242800,94,240000
subaru,Impreza,8,92400,82,422000
subaru,Legacy,12,143400,111,445000
toyota,Corolla,22,231500,62,159000
toyota,Corolla,10,131200,62,250000
toyota,Corolla,6,73900,62,317000
toyota,Corolla,22,382600,62,150000
toyota,Corolla,10,119900,62,238000
toyota,Corolla,11,208300,62,199000
toyota,Corolla,19,252200,70,188000
toyota,Corolla,21,374000,70,150000
toyota,Yaris,15,178000,56,170000
toyota,Yaris,20,323000,56,150000
toyota,Corolla,16,165200,70,207000
toyota,Corolla,24,360900,70,150000
toyota,Corolla,8,107100,70,309000
toyota,Corolla,14,141300,70,250000
toyota,Corolla,17,163000,70,200000
toyota,Corolla,12,185400,112,488000
toyota,Corolla,12,168800,112,501000
toyota,Avensis,10,132800,116,580000
toyota,Avensis,20,381100,116,277000
toyota,Avensis,18,295600,116,303000
toyota,Avensis,25,310100,116,227000
toyota,Avensis,17,305000,116,308000
toyota,Avensis,22,239300,116,286000
toyota,Corolla,18,333800,92,233000
toyota,Corolla,19,161100,73,222000
toyota,Corolla,3,47300,92,642000
toyota,Corolla,14,272800,92,285000
toyota,Corolla,19,252800,92,249000
toyota,Avensis,21,437600,161,432000
toyota,Avensis,14,149800,161,698000
toyota,Camry,11,107300,156,772000
toyota,Camry,18,335900,156,466000
volkswagen,Polo,13,277200,52,150000
volkswagen,Golf 4,19,394700,85,188000
volkswagen,Polo,10,95800,52,223000
volkswagen,Golf 4,19,206700,85,250000
volkswagen,Golf 4,21,208000,85,217000
volkswagen,Polo,21,390200,68,150000
volkswagen,Golf 8,3,52200,100,709000
volkswagen,Golf 6,13,222600,90,311000
volkswagen,Golf 4,21,380100,90,178000
volkswagen,Golf 6,15,165000,110,422000
volkswagen,Polo,22,357800,68,150000
volkswagen,Golf 6,12,230800,88,309000
volvo,S60,8,93800,114,996000
volvo,S60,21,373900,114,392000
volvo,S60,13,115200,114,719000
volvo,S60,8,162200,114,891000
volvo,S80,20,385100,162,642000
volvo,S80,10,135500,162,1217000
volvo,S60,8,85500,114,958000
volvo,S60,12,207300,160,1035000
volvo,S60,12,254300,134,736000
volvo,S60,10,105100,106,724000
volvo,S60,7,72500,114,1048000
fiat,Egea,4,68000,95,810000
renault,Clio,3,41000,100,940000
volkswagen,Golf 7,5,82000,110,1250000
ford,Focus,6,110000,125,1100000
toyota,Corolla,2,22000,120,1480000
hyundai,i30,7,130000,100,850000
dacia,Sandero,3,55000,115,980000
peugeot,308,4,75000,130,1350000
opel,Astra,8,140000,110,820000
mercedes-benz,C Serisi,5,90000,170,2800000
bmw,3 Serisi,6,105000,184,2650000
audi,A4,4,65000,150,2400000
skoda,Octavia,3,48000,110,1150000
fiat,Egea,8,150000,95,620000
renault,Clio,10,180000,90,600000
volkswagen,Passat,7,120000,150,1650000
ford,Focus,2,25000,100,1050000
toyota,Corolla,9,160000,110,880000
hyundai,i20,1,15000,115,1120000
dacia,Duster,5,95000,110,830000
peugeot,308,6,115000,130,1180000
opel,Astra,3,40000,120,1080000
mercedes-benz,C Serisi,8,160000,156,2250000
bmw,3 Serisi,10,190000,170,1750000
audi,A6,7,130000,190,2100000
skoda,Superb,5,85000,115,1020000
fiat,Egea,1,12000,100,990000
renault,Clio,5,70000,115,980000
volkswagen,Golf 8,2,30000,110,1550000
ford,Focus,9,170000,100,730000
toyota,Corolla,4,60000,132,1300000
hyundai,i30,6,90000,115,910000
dacia,Duster,1,10000,110,1050000
peugeot,208,2,28000,100,1280000
opel,Astra,5,88000,115,930000
mercedes-benz,C Serisi,3,45000,170,3500000
bmw,3 Serisi,1,15000,184,3800000
audi,A4,2,25000,150,2900000
skoda,Octavia,7,125000,150,1100000
fiat,Punto,12,210000,90,480000
renault,Clio,15,250000,85,420000
volkswagen,Golf 7,10,190000,105,900000
ford,Focus,11,200000,115,680000
toyota,Corolla,14,240000,100,550000
hyundai,Accent,9,175000,90,660000
dacia,Sandero,7,140000,110,690000
peugeot,308,10,185000,112,750000
opel,Astra,12,220000,100,530000
mercedes-benz,E Serisi,13,260000,170,1400000
bmw,5 Serisi,15,300000,160,1100000
audi,A6,11,210000,140,1250000
skoda,Octavia,9,160000,105,780000
fiat,Egea,5,85000,95,780000
renault,Clio,2,18000,100,990000
volkswagen,Golf 8,1,10000,110,1650000
ford,Focus,4,55000,125,1280000
toyota,Corolla,3,35000,120,1410000
hyundai,i20,5,75000,100,930000
dacia,Sandero,2,28000,115,1010000
peugeot,208,1,9000,130,1600000
opel,Astra,6,100000,110,870000
mercedes-benz,C Serisi,7,130000,170,2400000
bmw,3 Serisi,4,60000,184,3100000
audi,A4,3,40000,150,2650000
skoda,Octavia,1,15000,110,1250000
fiat,Egea,6,110000,95,710000
renault,Clio,8,140000,90,680000
volkswagen,Passat,9,160000,150,1350000
ford,Focus,3,42000,100,1120000
toyota,Corolla,7,115000,110,980000
hyundai,i20,2,26000,115,1080000
dacia,Sandero,6,120000,110,760000
peugeot,2008,5,85000,100,1150000
opel,Corsa,1,14000,120,1180000
mercedes-benz,E Serisi,10,200000,156,1950000
bmw,3 Serisi,12,230000,170,1500000
audi,A6,9,170000,190,1850000
skoda,Octavia,6,105000,115,950000
fiat,Egea,2,30000,100,950000
renault,Clio,1,10000,115,1050000
volkswagen,Golf 8,4,60000,110,1350000
ford,Focus,7,130000,115,890000
toyota,Corolla,1,8000,132,1550000
hyundai,i20,3,45000,100,1010000
dacia,Duster,4,75000,110,890000
peugeot,3008,3,38000,130,1420000
opel,Astra,7,115000,100,800000
mercedes-benz,C Serisi,1,18000,170,3900000
bmw,3 Serisi,2,28000,184,3600000
audi,A4,1,20000,150,3100000
skoda,Superb,2,30000,150,1350000
fiat,Linea,10,190000,90,550000
renault,Clio,12,220000,85,500000
volkswagen,Jetta,14,260000,105,650000
ford,Focus,13,240000,100,580000
toyota,Corolla,16,300000,100,450000
hyundai,Accent,11,200000,90,590000
dacia,Sandero,9,180000,110,620000
peugeot,301,13,250000,112,610000
opel,Astra,15,280000,100,430000
mercedes-benz,E Serisi,16,320000,150,1100000
bmw,3 Serisi,18,350000,170,950000
audi,A6,14,280000,140,1000000
skoda,Octavia,11,200000,105,690000
citroen,C3,3,40000,110,1050000
kia,Ceed,4,60000,120,1100000
nissan,Qashqai,5,80000,115,1050000
seat,Leon,2,25000,110,1120000
volvo,S60,6,100000,150,1900000
fiat,Egea,3,45000,95,840000
renault,Megane,4,55000,100,890000
volkswagen,Golf 7,6,100000,110,1150000
ford,Focus,5,85000,125,1140000
toyota,Corolla,8,140000,120,940000
hyundai,i20,4,65000,100,960000
dacia,Sandero,2,35000,115,1000000
peugeot,3008,7,120000,130,1120000
opel,Astra,9,160000,110,750000
mercedes-benz,C Serisi,2,30000,170,3700000
bmw,3 Serisi,3,40000,184,3300000
audi,A4,5,80000,150,2300000
skoda,Octavia,4,70000,110,1080000
citroen,C-Elysee,6,110000,110,810000
kia,Rio,1,15000,120,1250000
nissan,Micra,7,120000,115,920000
seat,Leon,5,80000,110,980000
volvo,S60,3,45000,150,2400000
fiat,Egea,7,130000,95,670000
renault,Clio,9,170000,90,630000
volkswagen,Passat,11,200000,150,1100000
ford,Focus,1,12000,100,1180000
toyota,Corolla,6,95000,132,1150000
hyundai,i30,8,150000,115,780000
dacia,Sandero,8,160000,110,660000
peugeot,2008,4,65000,100,1220000
opel,Corsa,2,28000,120,1130000
mercedes-benz,E Serisi,9,180000,156,2100000
bmw,3 Serisi,11,210000,170,1650000
audi,A6,8,150000,190,1950000
skoda,Superb,10,180000,115,800000
citroen,C4,1,10000,110,1150000
kia,Stonic,3,40000,120,1180000
nissan,Juke,2,22000,115,1160000
seat,Leon,7,120000,110,850000
volvo,S90,1,15000,190,2900000
fiat,Egea,1,9000,95,980000
renault,Megane,6,90000,115,900000
volkswagen,Golf 8,3,45000,110,1450000
ford,Focus,8,150000,100,800000
toyota,Corolla,5,75000,120,1250000
hyundai,i20,1,12000,100,1100000
dacia,Duster,3,60000,110,960000
peugeot,301,8,140000,112,850000
opel,Astra,4,65000,115,990000
mercedes-benz,C Serisi,6,110000,170,2600000
bmw,3 Serisi,5,80000,184,2850000
audi,A4,6,100000,150,2100000
skoda,Superb,3,55000,150,1280000
